Sol,Tm,ST,MV,density,Ecoh,Tg,HC,EMW,mix,delta_Tg
21.1,433,44.135,24.5,1.23,10900,211,61,2550,no,low
20.4,244,40,39,1.13,16200,225,91,2000,no,low
17.3,341,31.2,57.9,1,17200,205,111.5,2800,yes,low
17.5,284,29.6,73.7,0.98,22600,189,148,2000,yes,low
19.7,401,40.9,68.9,1.34,26800,253,150,6300,no,low
17.8,316,32.1,104.4,0.96,33100,204,216,1800,yes,low
26.2,568,49,44.8,1.18,30700,383,69,7900,yes,high
20.4,528,49.15,210.2,1.21,87700,430,305,2500,no,high
15.3,281,19.9,76.5,0.965,17600,149,116.3,9325,yes,low
23,591,40.33,169.3,1.37,89800,489,233,3850,no,high
22.7,370,50.65,310.4,1.29,161500,482,410,1600,no,high
23,548,41.3,155.2,1.43,81700,431,202,1750,no,high
21.9,581,37,228.1,1.26,109400,421,320,1350,no,high
23.1,620,36.2,236,1.28,127500,437,300,1700,no,high
24.5,495,42.9,45.2,1.24,27600,291,76,4700,yes,low
21.1,510,57.4,80.1,1.33,38000,363,110,3200,no,high
21.1,510,57.4,80.1,1.33,38000,363,110,3200,no,high
18.9,428,40.5,46.4,1.3,16700,223,107,3750,yes,low
17.9,369,38.4,68.2,1.08,21900,228,134,4000,yes,low
19.6,423,47,45.2,1.38,17300,350,62,5400,no,high
25.9,347,37.5,54.6,1.3,39800,438,96,14000,yes,high
23.1,420,50.1,107.8,1.05,57300,403,168,23000,no,high
23,462,47.2,123,1.03,65200,401,190,28200,no,high
24.9,389,53.9,128.5,1.15,79800,498,177,47000,yes,high
22.6,438,47.2,123.7,1.03,63200,393,194,28500,no,high
25.5,518,42,104.4,1.08,67600,324,166,2500,yes,high
26,506,42,209.9,1.08,143100,324,328,2000,yes,high
24.5,493,45.2,135.9,1.04,82700,324,224,2300,yes,high
21.1,460,34.6,197.3,1,90200,313,319,1950,no,low
21.9,480,32,329,1.03,163500,323,539,1900,no,high
17.9,385,29,135,1.05,43100,294,237,12200,yes,low
20,383,40.6,70.4,1.22,28200,280,114,10000,no,low
19,456,41.2,87.1,1.15,31300,378,136.5,11800,yes,high
18.5,358,27.225,118.7,1.08,40400,220,231,18000,yes,low
19.1,375,27.7,89.4,1.12,32800,250,180,8200,yes,low
21.3,394,32.66,51.1,1.41,22700,374,90,6900,no,high
19.5,414,39.7,140.9,1.15,51700,282,201,36000,no,low
28.4,457,37.9,89.2,1.4,80100,277,220,30000,yes,low
29.2,492,39.1,83.6,1.33,70000,436,137,24100,no,high
23.5,509,38,98.6,1.27,54000,422,163,29500,yes,high
19.9,356,33.9,115.5,1.25,45600,373,185,16500,no,high
19.6,227,37.5,145.5,1.18,48300,284,238,25000,no,low
19.7,291,36.5,165.7,1.21,67000,259,369.8,35800,no,low
16.5,370,27.75,75.1,0.91,20600,204,130,4800,yes,low
16.8,336,34.1,76,0.9,21300,178,132,1400,yes,low
17,345,31,59.7,0.95,17300,171,101,2600,yes,low
16.2,452,30.4,48.8,0.86,12800,264,89.5,4650,yes,low
18.1,430,38.95,71.3,1.24,23300,237,135,9700,yes,low
18.5,468,35.6,153,1.1,51900,370,229,34500,yes,high
15.7,440,38.4,34.4,1.34,8500,279,59.5,1650,yes,low
22,441,36.5,130.9,1.17,62000,374,216,42000,no,high
17.8,499,32.2,78.1,0.9,24600,323,120,6200,yes,high
16.4,348,32.2,130,0.86,35000,218,240,13900,yes,low
16.7,321,31.6,32.9,0.85,9200,239,63,1150,yes,low
15.8,427,28.4,63.8,0.88,16300,202,110,7950,yes,low
16,435,25.32,65.2,0.859,16800,245,118,12300,yes,low
15.4,487,32.2,97.9,0.86,23100,337,142,8100,yes,high
20.2,493,44.5,74.1,1.14,31800,370,120,8600,no,high
22,423,40.6,111,1.19,54400,323,154,26200,no,high
23.6,461,37.6,103.6,1.16,57400,397,140,28000,yes,high
18.2,350,35.3,109,0.92,36100,220,211,12500,yes,low
18.1,381,36.9,74.1,0.97,24300,234,151,7050,yes,low
17.9,442,35.4,109.4,0.92,35100,255,209,12300,yes,low
17.9,437,36,93.2,0.92,29900,270,178,9100,yes,low
18.3,399,30.667,55.6,1.05,18600,245,113,5800,yes,low
18.1,367,36,87.8,0.94,28600,224,181,9300,yes,low
20.8,422,40.8,124,1.2,51600,344,164.2,6300,no,high
18.6,396,35.8,104.5,1.09,35900,271,216,13800,yes,low
18.3,357,41.7,55.5,1.3,18000,307,85,4450,yes,low
19.6,415,30.7,72.3,1.19,27600,307,109,10300,no,low
19.2,311,35.9,209,1.09,75000,244,449,1960,yes,low
18.6,334,41.5,276.1,1.03,92900,213,562,1800,yes,low
23.3,407,40.6,144,1.335,77800,324,223,4950,no,high
19.8,265,37.6,141,1.22,57300,230,317,2200,no,low
20.2,463,38.1,229.5,1.2,92200,364,339,3200,no,high
